track_name; album_name; release_date; album_uri; artists; artist_uri; duration_ms; popularity; track_number; track_uri; danceability; energy; key; mode; loudness; speechiness; acousticness; instrumentalness; liveness; valence; tempo; time_signature
Be Fine; Good Faith; 2019-11-15; spotify:album:6Lq1lrCfkpxKa4jCo5gKWr; Madeon; spotify:artist:4pb4rqWSoGUgxm63xmJ8xc; 208093; 52; 3; spotify:track:7vm3Z78elWY11Xl6MNuXng; 0.543; 0.841; 8; 1; -5.866; 0.0473; 0.00503; 0.00495; 0.292; 0.48; 94.085; 4
Red Lights (feat. Dotter); Red Lights (feat. Dotter); 2017-09-20; spotify:album:2pTHYgViu22ngunJXknbXu; Kill Paris; spotify:artist:6BNaPZdAIZAJnbgJRiZz2w; 209454; 0; 1; spotify:track:5zeHaAHMshji4eWfAo5pNZ; 0.707; 0.742; 6; 0; -5.736; 0.155; 0.0304; 0.000624; 0.167; 0.199; 109.979; 4
Ghost; Ghost; 2013-10-15; spotify:album:6osm6woyGEOaZzyrgeR41t; Chelsea Lankes; spotify:artist:5JZ7uSAWAzTHHVBICdtAc6; 293384; 0; 1; spotify:track:4Yt2MFYclIYZZS9VHyVd1G; 0.381; 0.805; 0; 0; -5.797; 0.153; 0.0522; 0.00268; 0.108; 0.225; 170.234; 4
Ylang Ylang; Ylang Ylang EP; 2019-11-12; spotify:album:0A13mnL2iaAoke3GXWsvB1; FKJ; spotify:artist:2FwDTncULUnmANIh7qKa5z; 213000; 51; 3; spotify:track:6lAMnXLVCBPMXXWAK4lGSL; 0.559; 0.243; 1; 1; -12.453; 0.0326; 0.925; 0.935; 0.108; 0.162; 69.941; 4
Things Fall Apart; we come alive. (Side A); 2019-10-04; spotify:album:2skGwvEYMarZwKaPGXtetw; ayokay; spotify:artist:4BzCdhJTyTS3gumq9xmymb; 188480; 41; 5; spotify:track:1E5MSoZHolbk3L0qDTEI5s; 0.811; 0.679; 5; 0; -6.326; 0.0324; 0.427; 0.000492; 0.116; 0.329; 119.98; 4
love, death, distraction; love, death, distraction; 2019-12-06; spotify:album:1ZOTbwe7DWsULUT2yTWd5f; EDEN; spotify:artist:1t20wYnTiAT0Bs7H1hv9Wt; 257045; 44; 1; spotify:track:2NS5S3hdksbSntinalpeJJ; 0.262; 0.366; 0; 0; -10.181; 0.0348; 0.923; 4.25e-05; 0.3; 0.222; 81.749; 4
Wake Up Call - Slow Magic Remix; Wake Up Call (Slow Magic Remix); 2019-03-20; spotify:album:2hjbb27STXZCBG2ndAHKq8; Manila Killa; spotify:artist:4EukMPjtYsdi87lkU1hIxN; 232320; 21; 1; spotify:track:6QeB2RRLRQvNUT0Qv1nkRg; 0.471; 0.717; 11; 0; -7.036; 0.0443; 0.014; 0.0152; 0.329; 0.226; 125.03; 4
BLUE; BLUE; 2019-12-13; spotify:album:1WjspDqwIlXKkI7QWGifZ2; Tiësto; spotify:artist:2o5jDhtHVPhrJdv3cEQ99Z; 167858; 71; 1; spotify:track:79Vz5MNH7Qe4F7hPKT8tPz; 0.744; 0.725; 11; 1; -6.055; 0.0303; 0.018; 9.29e-06; 0.212; 0.904; 118.034; 4
Doubt House; Doubt House; 2017-11-10; spotify:album:6x1S18ZNJi5QRBN5qkRJaH; EMBRZ; spotify:artist:1abeK6nTH1bQUmfhyfSpPh; 198400; 35; 1; spotify:track:2a8v9MhXxvJZ09vZGEEEdS; 0.565; 0.712; 7; 0; -7.773; 0.0464; 0.00166; 3.87e-05; 0.146; 0.166; 149.976; 4
Movie; Geography; 2018-04-06; spotify:album:28enuddLPEA914scE6Drvk; Tom Misch; spotify:artist:1uiEZYehlNivdK3iQyAbye; 357357; 66; 4; spotify:track:6pxElwU80zhjbCC77Vn8EI; 0.785; 0.379; 7; 1; -11.446; 0.0732; 0.391; 0.0161; 0.267; 0.182; 122.043; 3
Eternal Light; Free Nationals; 2019-12-13; spotify:album:53oqFs4q8sfqH6IPiyleEN; Free Nationals; spotify:artist:4596e2d3KmYzAeVenjCxfj; 193740; 58; 10; spotify:track:1CbxG199T0fzfUV5EO7aPV; 0.793; 0.465; 5; 0; -8.134; 0.271; 0.648; 0.000132; 0.0871; 0.898; 141.85; 4
Thin Floors And Tall Ceilings - ford. Remix; A Moment Apart Remixes; 2018-11-28; spotify:album:1aCwkhlyKbMk4xOXmHARqB; ODESZA; spotify:artist:21mKp7DqtSNHhCAU2ugvUw; 294390; 33; 2; spotify:track:3l48UcyogWNWHp47DSjdt2; 0.705; 0.446; 11; 1; -9.227; 0.0536; 0.485; 0.819; 0.0999; 0.275; 99.999; 4
waves - Tame Impala Remix; Rogue Waves; 2016-02-26; spotify:album:4sJXyIfwduIWFISb4iCq2f; Miguel; spotify:artist:360IAlyVv4PCEVjgyMZrxK; 253346; 67; 1; spotify:track:3lB0GMiI5KxDbTOG8V3bOx; 0.529; 0.894; 2; 1; -3.599; 0.0412; 0.308; 5.38e-06; 0.254; 0.543; 108.024; 4
Saved; American Teen; 2017-04-27; spotify:album:6kf46HbnYCZzP6rjvQHYzg; Khalid; spotify:artist:6LuN9FCkKOj5PcnpouEgny; 206533; 73; 5; spotify:track:248OFOZef6ShXv6DGgbnxU; 0.739; 0.448; 10; 0; -10.28; 0.138; 0.189; 0; 0.118; 0.553; 81.044; 4
High With Somebody; High With Somebody; 2018-03-23; spotify:album:7lHv5wi87uEaU9v62gbVf8; Sandro Cavazza; spotify:artist:5JYo7gm2dkyLLlWHjxS7Dy; 174665; 55; 1; spotify:track:6IhosQhN1ayHO4XP72XFXy; 0.785; 0.644; 5; 1; -7.856; 0.0813; 0.0242; 0.000118; 0.152; 0.789; 115.906; 4
Nobody Knows (feat. WYNNE); Nobody Knows (feat. WYNNE); 2017-02-10; spotify:album:0VLiS3vODnWusQMXuLekTE; Autograf; spotify:artist:0FVj4JuzTyudaXAwfqDQ20; 211964; 22; 1; spotify:track:5qwlh4LPRLpavBvXwEjDfZ; 0.582; 0.621; 4; 0; -9.194; 0.056; 0.646; 0.275; 0.111; 0.061; 184.98; 3
Outer Sunset; Outer Sunset; 2020-01-29; spotify:album:5WnI5LTs3ovtdNquIK5yS7; Tycho; spotify:artist:5oOhM2DFWab8XhSdQiITry; 250383; 35; 1; spotify:track:51Rp97QoGVAlLpmZdwTIY1; 0.716; 0.695; 8; 1; -11.146; 0.0449; 0.514; 0.916; 0.0933; 0.693; 96.994; 4
Letting Go; Letting Go; 2020-01-27; spotify:album:530gBoaRLZ5fgvBtqPMkAS; EMBRZ; spotify:artist:1abeK6nTH1bQUmfhyfSpPh; 226560; 38; 1; spotify:track:4b2Kzl3TwVsq7dCZ5IWY4y; 0.779; 0.55; 9; 1; -8.857; 0.0489; 0.335; 0.896; 0.0835; 0.0384; 125.032; 4
The Louvre; Melodrama; 2017-06-16; spotify:album:2B87zXm9bOWvAJdkJBTpzF; Lorde; spotify:artist:163tK9Wjr9P9DmM0AVK7lm; 271088; 63; 4; spotify:track:5q4BpnMrYEFzLO0dYODj6J; 0.664; 0.382; 0; 1; -9.977; 0.047; 0.239; 0.00749; 0.0943; 0.126; 123.214; 4
Thrive; Snow Ghosts; 2015-08-14; spotify:album:38GbEzw5JpPS9zVsu3LGiq; Yoe Mase; spotify:artist:4IuWSIEfIed8aZb49YA4Cj; 283570; 38; 3; spotify:track:1APGWTwyWb3nbESCEbqiAu; 0.706; 0.613; 3; 1; -12.079; 0.0598; 0.169; 0.706; 0.0559; 0.229; 120.956; 4
Surf; Circles; 2020-01-17; spotify:album:5sY6UIQ32GqwMLAfSNEaXb; Mac Miller; spotify:artist:4LLpKhyESsyAXpc4laK94U; 330506; 65; 11; spotify:track:1kwnxJNVl7cwcU98RvMBaR; 0.828; 0.182; 1; 0; -13.066; 0.166; 0.754; 0.0706; 0.15; 0.231; 147.279; 4
Complicated; Circles; 2020-01-17; spotify:album:5sY6UIQ32GqwMLAfSNEaXb; Mac Miller; spotify:artist:4LLpKhyESsyAXpc4laK94U; 232211; 64; 2; spotify:track:3WfSNAoj2D8C9noPSGZZFM; 0.831; 0.36; 0; 1; -8.073; 0.052; 0.136; 0.00217; 0.0703; 0.601; 75.014; 4
Good News; Circles; 2020-01-17; spotify:album:5sY6UIQ32GqwMLAfSNEaXb; Mac Miller; spotify:artist:4LLpKhyESsyAXpc4laK94U; 342040; 76; 4; spotify:track:1DWZUa5Mzf2BwzpHtgbHPY; 0.794; 0.32; 1; 0; -12.92; 0.173; 0.853; 0.134; 0.112; 0.241; 174.088; 4
